 mid, username, rpid, gender, content, ctime, likes, rcount
139183178,茅野家的松冈祯丞,1979706201,男,两季了，等这刻牵手不容易，真的是好想急死你西片这孩子们终于有出息了，知道了烟花再美，没有太太一起看不完美。高木太太今天回家后做梦都会笑醒。还有感谢好基友助攻。人生得比基友无憾了。不说了，投币呀，愣着干吗,2019-09-23 15:29:56,1,0
93682937,坐等高木第二季,1979702749,保密,"烟花结束之时，眼里只有彼此之刻。
胖子真心神仙队友。",2019-09-23 15:28:41,1,0
388192134,心中的高木同学,1979699186,保密,懵懂青春中有高木好女孩和木村这样的好基友足矣,2019-09-23 15:27:55,1,0
78111943,彷徨宁夏,1979694899,男,第三季我想看一家三口上阵。[惊喜][惊喜],2019-09-23 15:26:27,1,0
98717727,母鹿不长角,1979694844,男,完结撒花🌸,2019-09-23 15:26:18,1,0
4187367,缘来你坑,1979698078,男,真的很少有这种高评分少撕逼的动漫了，跪求第三季在B站啊，这才是最完美的看番环境！,2019-09-23 15:25:16,1,0
281080624,意冷心灰意冷,1979693938,男,完结了，我枯了，下周星期日不在会有高木发的狗粮了[蛆音娘_哭泣][蛆音娘_哭泣][蛆音娘_哭泣]突然很羡慕不是大会员得小伙伴 至少他们还能期待下个星期日的狗粮[蛆音娘_哭泣][蛆音娘_哭泣][蛆音娘_哭泣],2019-09-23 15:23:42,1,0
320042095,NSBT,1979692413,女,awsl高木完結了,2019-09-23 15:19:34,1,0
40696216,微笑灬绵羊,1979684711,保密,这个硬币给木村！！！,2019-09-23 15:17:18,1,0
2958286,十二月板桥霜丶,1979690040,男,我要看擅长捉弄人的西片太太动漫！,2019-09-23 15:13:08,1,0
3940412,とある可愛のキラキラ,1979685744,男,完结撒花 感谢陪伴 跪求第三季[大哭],2019-09-23 15:12:16,1,0
1515039,晴天下毛毛雨,1979674712,男,有成人终成眷属   我跟跟蛆一样在床上滚来滚去,2019-09-23 15:12:11,1,0
769413,浅酒吟歌,1979674447,男,什么叫旁观者清？这就叫旁观者清。话说西片你明明一直都在赢 你都没停过！木村也是好兄弟，懂事儿,2019-09-23 15:11:28,1,0
412798681,养草吗,1979680265,保密,擅长急死人的西片同学,2019-09-23 15:06:44,1,0
27833613,中奖的靓仔,1979677359,保密,穷人连狗粮都吃不到新鲜的,2019-09-23 15:04:16,1,0
